"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"18SV1b",3623,3582,3487,3491,3234,3234
"18SV2b",3549,3424,3341,3356,3296,3296
"18SV3b",3588,3481,3393,3430,3351,3351
"18SV4b",4162,4100,4050,4076,3990,3990
"18SW1b",4147,4074,3964,3969,3780,3780
"18SW2b",3536,3494,3452,3467,3404,3404
"18SW3b",2855,2825,2779,2784,2651,2651
"18SW4b",3352,3283,3155,3221,3087,3087
"21SV1b",3749,3677,3620,3611,3516,3513
"21SV2b",2539,2400,2359,2356,2262,2249
"21SV3b",2844,2806,2731,2730,2682,2682
"21SV4b",3470,3408,3274,3384,3206,3202
"21SW1b",3255,3151,3054,3069,3002,3002
"21SW2b",2638,2592,2495,2527,2479,2479
"21SW3b",2673,2632,2568,2587,2544,2541
"21SW4b",3475,3408,3306,3351,3207,3207
