"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"18SV1f",6251,6041,5905,5894,5668,5585
"18SV2f",5746,5684,5626,5623,5467,4867
"18SV3f",4734,4674,4618,4632,4481,3742
"18SV4f",3542,3296,3171,3266,3107,2941
"18SW1f",3004,2954,2842,2859,2778,2756
"18SW2f",4054,3895,3861,3838,3728,3655
"18SW3f",5719,5544,5480,5517,5245,5119
"18SW4f",5102,4985,4912,4945,4683,4454
"21SV1f",6423,6319,6150,6227,5903,5663
"21SV2f",8000,7892,7825,7822,7645,7046
"21SV3f",5260,5196,5116,5123,4947,4604
"21SV4f",6172,5991,5913,5937,5788,5407
"21SW1f",2277,2139,2028,2058,1990,1990
"21SW2f",10088,9507,9459,9430,9233,8717
"21SW3f",6020,5810,5719,5752,5607,5228
"21SW4f",6476,6105,6047,6065,5947,5640
